ANIO,ID_PERSONA,LLAVE_ENTIDAD,LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEM),LLAVE_LOCALIDAD,CLAVE_LOCALIDAD_INEGI,ID_VIVIENDA,ID_HOGAR,LLAVE_COBERTURA,LLAVE_CLASEVIVIENDA,LLAVE_SEXO,LLAVE_PARENTESCO,LLAVE_IDENTMADRE,LLAVE_IDENTPADRE,LLAVE_PAIS_NAC,LLAVE_ENTIDAD_NAC,LLAVE_NACIONALIDAD,LLAVE_SERSALUD,LLAVE_AFRODES,LLAVE_REGISNAC,LLAVE_RELIGION,LLAVE_HLENGUA,LLAVE_LENGUAMAT,LLAVE_HESPANOL,LLAVE_ELENGUA,LLAVE_PERTEINDIGENA,LLAVE_ASISESCOLAR,LLAVE_PAIS_ASISESCOLAR,LLAVE_ENTIDAD_ASISESCOLAR,LLAVE_MUNICIPIO_ASISESCOLAR,LLAVE_TIETRASLADO_ESCOLAR,LLAVE_MEDTRASLADO_ESCOLAR,LLAVE_NIVACAD,LLAVE_CARRERA,LLAVE_ALFABETISMO,LLAVE_PAIS_RES5A,LLAVE_ENTIDAD_RES5A,LLAVE_MUNICIPIO_RES5A,LLAVE_CAUSAMIGRACION,LLAVE_SITUACONYUGAL,LLAVE_IDENTPAREJA,LLAVE_ACTPRIMARIA,LLAVE_OCUPACION,LLAVE_SITTRA,LLAVE_ACTECONOMICA,ACTIVIDAD_ECONOMICA_INEGI,LLAVE_PAIS_TRABAJO,LLAVE_ENTIDAD_TRABAJO,LLAVE_MUNICIPIO_TRABAJO,LLAVE_TIETRASLADO_TRABAJO,LLAVE_MEDTRASLADO_TRABAJO,LLAVE_TAMLOC,ESTRATO,UPM,FACTOR_EXP,NUMPERSONA,EDAD,ESCOLARIDAD,ESCOLARIDAD_ACUMULADA,INGRESO,HORAS_TRABAJADAS,HIJOS_NACIDOS,HIJOS_VIVOS,HIJOS_FALLECIDOS,MERCADO_TRABAJO_LOCAL
2000,200000000000000005852,1,17,1,170001,1.0,2000000000068380,2000000000000633.0,0,0,1,301,0,0,235,1,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,6,0,0,999,,601,0,0,0,0,4,100101023,5,7,,20.0,6.0,6.0,0.0,,,,,1
2000,200000000000000005860,1,17,1,170001,1.0,2000000000070822,2000000000000634.0,0,0,2,621,0,0,235,32,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,2,235,1,17,0,4,0,1,95103,5,469,469.0,235,1,17,0,0,4,100101023,23,7,,75.0,1.0,1.0,0.0,4.0,3.0,3.0,2.0,1
2000,200000000000000005859,1,17,1,170001,1.0,2000000000070822,2000000000000634.0,0,0,1,301,0,0,235,1,0,2,0,0,1,2,0,0,0,3,1,601,0,0,0,0,3,0,1,235,1,17,0,9,0,5,0,0,999,,601,0,0,0,0,4,100101023,23,7,,13.0,1.0,7.0,0.0,,,,,1
2000,200000000000000005863,1,17,1,170001,1.0,2000000000073264,2000000000000635.0,0,0,1,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,1,71201,2,236,230.0,235,1,17,0,0,4,100101023,23,7,,36.0,2.0,2.0,1714.0,45.0,,,,1
2000,200000000000000005891,1,17,1,170001,1.0,2000000000083031,2000000000000639.0,0,0,2,201,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,6,0,6,0,0,999,,601,0,0,0,0,4,100101023,23,7,,29.0,6.0,6.0,0.0,,4.0,4.0,0.0,1
2000,200000000000000005889,1,17,1,170001,1.0,2000000000083031,2000000000000639.0,0,0,1,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,1,601,0,0,0,0,2,0,1,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,23,7,,11.0,4.0,4.0,0.0,,,,,1
2000,200000000000000005899,1,17,1,170001,1.0,2000000000085472,2000000000010331.0,0,0,2,101,0,0,235,32,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,18,0,2,235,1,17,0,8,0,6,0,0,999,,601,0,0,0,0,4,100101023,23,7,,67.0,0.0,0.0,0.0,,10.0,10.0,6.0,1
2000,200000000000000005900,1,17,1,170001,1.0,2000000000085472,2000000000010331.0,0,0,1,201,0,0,235,1,0,7,0,0,1,2,0,0,0,3,2,601,0,0,0,0,0,0,1,235,1,17,0,8,0,1,41100,5,461,460.0,235,1,17,0,0,4,100101023,23,7,,72.0,9.0,,1286.0,70.0,,,,1
2000,200000000000000005903,1,17,1,170001,1.0,2000000000087913,2000000000000641.0,0,0,1,101,0,0,235,14,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,6,0,1,75101,1,461,460.0,235,1,17,0,0,4,100101023,23,7,,25.0,6.0,6.0,2571.0,66.0,,,,1
2000,200000000000000005907,1,17,1,170001,1.0,2000000000090354,2000000000000642.0,0,0,1,611,0,0,235,1,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,18,0,2,235,1,17,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,23,7,,8.0,0.0,0.0,0.0,,,,,1
